tribe,country_region,latitude,longitude,summary
Amharic,Ethiopia,9.03,38.74,Semitic-speaking group central to Ethiopian history; associated with Orthodox Christianity and imperial state formation.
Ashanti,Ghana,6.69,-1.63,Part of Akan people; known for the Ashanti Empire, gold culture, and strong matrilineal traditions.
Bakongo,DR Congo (Zaire),-5.83,13.05,Bantu-speaking group; historically part of the Kingdom of Kongo with complex spiritual cosmology.
Bambara,Mali (Senegal region listed),12.65,-8.00,Major Mande ethnic group; rich oral traditions and agricultural society.
Bantu,Southern Africa,-15.00,25.00,Large linguistic-cultural family spanning central and southern Africa; known for migration and language diffusion.
Basa,Liberia & Nigeria,6.30,-10.80,Coastal West African group; known for trade networks and indigenous belief systems.
Basotho,Lesotho,-29.31,27.48,Southern African people with strong pastoral traditions and mountainous cultural identity.
Batswana,Botswana,-24.65,25.91,Tswana-speaking people; known for cattle culture and community-based governance.
Bemba,Zambia/Northern Zimbabwe,-10.21,31.18,Agricultural society in central Africa; matrilineal traditions and chieftaincy structures.
Bondei,Kenya/Tanzania coast,-5.10,38.60,Coastal Bantu group influenced by Swahili and Indian Ocean trade.
Chagga,Tanzania,-3.25,37.52,Live on Mount Kilimanjaro slopes; known for agriculture and irrigation systems.
Duala,Cameroon,4.05,9.70,Coastal trading people; historically engaged in commerce with Europeans.
Efik,Nigeria,4.95,8.32,Known for the Ekpe secret society and early contact with Europeans via trade.
Ewe,Ghana/Togo,6.13,1.22,West African group with strong oral traditions and drumming culture.
Fanti,Ghana,5.11,-1.25,Akan subgroup; historically coastal traders and intermediaries in colonial trade.
Ga,Ghana,5.56,-0.20,Coastal Accra-based people; known for Homowo festival.
Galla (Oromo),Ethiopia,7.88,39.60,Large Cushitic-speaking group; pastoral and agricultural traditions.
Ganda,Uganda,0.31,32.58,Central Ugandan kingdom (Buganda); strong monarchy and clan system.
Hausa,Nigeria (North),12.00,7.60,Major West African trading group; Islamic influence and urban centers.
Hutu,Rwanda,-1.94,29.87,Agricultural population; central to Rwanda's demographic and historical dynamics.
Ibo (Igbo),Nigeria,5.45,7.50,Southeastern Nigerian group; decentralized political systems and strong trade culture.
Kamba,Kenya,-1.52,37.27,Known for trade and craftsmanship; semi-arid adaptation.
Kikuyu,Kenya,-0.75,36.80,Largest Kenyan ethnic group; agricultural society and anti-colonial history.
Zulu,South Africa,-28.00,31.00,Famous for military history under Shaka Zulu; strong cultural identity and language.
Yoruba,Nigeria (South),7.38,3.93,Urbanized West African group; rich mythology, Ifa divination system, and artistic traditions.